HRGM name	Genome name	GTDB Taxonomy	Member Count	Continents	Country	Study	Genome type	16S rRNA	Quality	Completeness (%)	Contamination (%)	N50 (bp)	Genome Length (bp)
HRGM_Genome_0015	GUT_GENOME143118	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus	3	Europe	Denmark	PATRIC/IMG	Isolate	Direct	HQ	99.51	0.37	64374	1884438
HRGM_Genome_0016	KIJ_genome_9110	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	1	Asia	Japan	KIJ	MAG	Direct	MQ	62.9	0.925	3002	1312716
HRGM_Genome_0017	KIJ_genome_8800	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_I	1	Asia	Japan	KIJ	MAG		MQ	74.45	0.448	3194	1220281
HRGM_Genome_0018	GUT_GENOME226020	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_Q	1	North America	United States	HGM	MAG		HQ	99.88	0.37	179545	1776527
HRGM_Genome_0019	GUT_GENOME096244	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia paralvei	15	Europe;NA;North America	Denmark;NA;Sweden;France;United Kingdom;Germany;Canada;United States	NCBI;HGM;HBC;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.86	0.36	198921	4883880
HRGM_Genome_0020	GUT_GENOME145582	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia alvei	12	Europe;Asia;North America	South Korea;Denmark;Netherlands;Sweden;France;United States	CIBIO;PATRIC/IMG;HGM;EBI	MAG;Isolate	Direct	HQ	99.92	0.28	4498956	4498956
HRGM_Genome_0021	KIJ_genome_14590	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia proteus	1	Asia	South Korea	KIJ	MAG		HQ	94.31	0.625	22158	4179267
HRGM_Genome_0022	GUT_GENOME096246	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yokenella;s__Yokenella regensburgei	1			NCBI	Isolate	Direct	HQ	100	0.87	2596006	4681222
HRGM_Genome_0023	GUT_GENOME096298	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Metakosakonia;s__Metakosakonia massiliensis	1			NCBI	Isolate	Direct	HQ	97.43	0.55	785945	5003540
HRGM_Genome_0024	GUT_GENOME096384	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cedecea;s__Cedecea davisae	1			NCBI	Isolate	Direct	HQ	99.95	0.49	4876800	4886981
HRGM_Genome_0025	GUT_GENOME096543	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_A;s__Enterobacter_A timonensis	1			NCBI	Isolate	Direct	HQ	99.67	0.33	931139	4199690
HRGM_Genome_0026	GUT_GENOME095995	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter portucalensis_A	2			NCBI;PATRIC/IMG	Isolate	Direct	HQ	99.87	0.07	2724488	5154159
HRGM_Genome_0027	GUT_GENOME095996	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cancerogenus	2			NCBI;PATRIC/IMG	Isolate	Direct	HQ	99.98	0.04	1031480	4638653
HRGM_Genome_0028	GUT_GENOME103751	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A sedlakii	1			PATRIC/IMG	Isolate	Direct	HQ	100	0.08	290667	4631466
HRGM_Genome_0029	GUT_GENOME143361	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii	14	Europe;Oceania;North America	New Zealand;Mexico;Czech Republic;France;United States	PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.69	0.16	4496886	4628081
HRGM_Genome_0030	GUT_GENOME103766	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter portucalensis	24	NA;North America;Asia;Europe	Denmark;South Korea;NA;China;Estonia;Sweden;Japan;United States	NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Indirect	HQ	99.87	0.04	4945242	4945242
HRGM_Genome_0031	GUT_GENOME143502	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A amalonaticus_D	5	Asia;North America	Singapore;United States	PATRIC/IMG;HGM	MAG;Isolate	Direct	HQ	99.76	0.09	5030517	5083867
HRGM_Genome_0032	GUT_GENOME143527	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter malonaticus	2	Europe	Czech Republic	PATRIC/IMG	Isolate	Direct	HQ	99.82	0.47	28014	4470927
HRGM_Genome_0033	GUT_GENOME143711	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera ascorbata_B	1	Europe	Spain	PATRIC/IMG	Isolate	Direct	HQ	99.59	2.15	178551	5264779
HRGM_Genome_0034	KIJ_genome_315	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_B;s__Citrobacter_B koseri	42	Europe;Asia;North America	Netherlands;China;Italy;Japan;Israel;United States	HGM;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Indirect	HQ	99.88	0.319	328803	4569955
HRGM_Genome_0035	GUT_GENOME143724	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter europaeus	3	Europe;North America	United States;United Kingdom	CIBIO;PATRIC/IMG	MAG;Isolate	Direct	HQ	99.31	0.49	5258449	5258449
HRGM_Genome_0036	GUT_GENOME143726	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella bongori	1	Europe	Italy	PATRIC/IMG	Isolate	Direct	HQ	100	0.68	179074	4572147
HRGM_Genome_0037	KIJ_genome_27334	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_B;s__Klebsiella_B aerogenes	98	South America;North America;Asia;Europe	Denmark;South Korea;Sweden;Brazil;Singapore;China;Finland;Japan;Israel;United States	HGM;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Indirect	HQ	100	0.037	712651	5174068
HRGM_Genome_0038	GUT_GENOME143740	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_B	9	Africa;Oceania;Asia;North America	Singapore;China;United States;Fiji;Madagascar	CIBIO;PATRIC/IMG;HGM	MAG;Isolate	Direct	HQ	98.78	0.33	245699	4686183
HRGM_Genome_0039	GUT_GENOME143746	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter nimipressuralis	71	Africa;Oceania;NA;Asia;North America;Europe	South Korea;NA;Sweden;France;United Kingdom;Madagascar;Fiji;Singapore;China;Finland;Japan;Israel;United States	HGM;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.07	0.04	293424	4872341
HRGM_Genome_0040	GUT_GENOME143747	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae	16	NA;Asia;North America	Singapore;NA;China;Japan;United States	HGM;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	100	0.11	4918273	5087499
HRGM_Genome_0041	GUT_GENOME143749	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_K	1	Europe	France	PATRIC/IMG	Isolate	Direct	HQ	98.68	0.78	209180	4738949
HRGM_Genome_0042	GUT_GENOME143751	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_H	3	Europe;South America;Oceania	Brazil;France;Fiji	CIBIO;PATRIC/IMG	MAG;Isolate	Direct	HQ	99.07	1.17	151932	5342742
HRGM_Genome_0043	GUT_GENOME143752	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter ludwigii	21	Oceania;North America;Asia;Europe	Denmark;South Korea;Italy;Sweden;Australia;United Kingdom;Germany;Japan;Israel;United States	HGM;HBC;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.97	0.04	332883	4697885
HRGM_Genome_0044	GUT_GENOME143760	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter himalayensis	255	South America;Oceania;NA;Asia;North America;Europe	Mongolia;Austria;Denmark;South Korea;France;India;Fiji;United Kingdom;Canada;Brazil;Spain;Russia;NA;Italy;Sweden;Uruguay;China;Finland;Japan;United States	HGM;HBC;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	99.45	0.18	4876110	5004730
HRGM_Genome_0045	GUT_GENOME144544	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	8523	South America;Africa;Oceania;NA;Asia;North America;Europe	Austria;Switzerland;India;Canada;Peru;Gambia;Estonia;Laos;Venezuela;Sweden;Senegal;Kazakhstan;Germany;El Salvador;Haiti;Colombia;Romania;Lebanon;South Korea;Denmark;Georgia;Morocco;Bangladesh;France;United Kingdom;Italy;Madagascar;Chile;Norway;Uruguay;Russia;Sri Lanka;Bolivia;United States;Mongolia;French Guiana;Australia;Thailand;Slovenia;Nigeria;Singapore;Mexico;Iran;Israel;Hungary;Uzbekistan;NA;Cuba;Guinea-Bissau;Burkina Faso;Mali;Belgium;Finland;Czech Republic;Netherlands;South Africa;Saudi Arabia;Vietnam;Guatemala;Fiji;Pakistan;Nepal;Dominican Republic;Spain;Brazil;Argentina;Zambia;Malaysia;Paraguay;Mozambique;Kenya;Indonesia;Costa Rica;Egypt;China;Japan;United Republic of Tanzania	NCBI;HGM;HBC;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	99.97	0.04	5168620	5339468
HRGM_Genome_0046	GUT_GENOME145378	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia albertii	11	South America;Africa;NA;North America;Asia;Europe	Denmark;NA;Sweden;Bangladesh;Guinea-Bissau;Brazil;Gambia;United States	CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	98.6	0.33	126515	4965193
HRGM_Genome_0047	GUT_GENOME145695	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae	71	South America;Oceania;NA;Asia;North America;Europe	Denmark;NA;Italy;Australia;India;United Kingdom;Fiji;Brazil;Peru;Singapore;Germany;China;Japan;United States	HGM;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.99	0.14	302626	5247162
HRGM_Genome_0048	GUT_GENOME145698	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola	135	Oceania;NA;North America;Asia;Europe	Austria;Denmark;South Korea;Australia;Ireland;United Kingdom;Fiji;Canada;Spain;Russia;Israel;NA;Italy;Sweden;China;Finland;Japan;United States	NCBI;HGM;HBC;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	100	0.04	370053	5624300
HRGM_Genome_0049	GUT_GENOME145983	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia fergusonii	1			PATRIC/IMG	Isolate	Direct	HQ	99.9	0.04	4588711	4643861
HRGM_Genome_0050	GUT_GENOME146008	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sesami	41	Europe;Asia;North America	Denmark;Italy;Sweden;France;Canada;Norway;China;Russia;Japan;United States	HGM;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.97	0.38	96643	4773474
HRGM_Genome_0051	GUT_GENOME146009	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pluralibacter;s__Pluralibacter gergoviae	12	North America	United States	PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.93	1.78	5408082	5408082
HRGM_Genome_0052	GUT_GENOME146010	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Metakosakonia;s__Metakosakonia intermedia	7	Europe;North America	United States;Finland	CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.34	1.7	5529134	6166452
HRGM_Genome_0053	GUT_GENOME147524	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A farmeri	3	Oceania;Asia	Australia;China	CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.97	0.9	5130228	5715629
HRGM_Genome_0054	GUT_GENOME147525	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter werkmanii_A	1	North America	United States	PATRIC/IMG	Isolate	Direct	HQ	99.97	0.58	4885099	4885099
HRGM_Genome_0055	GUT_GENOME147598	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	1034	South America;Africa;Oceania;NA;Asia;North America;Europe	Mongolia;Austria;Switzerland;Australia;Thailand;India;Canada;Singapore;Estonia;Israel;NA;Sweden;Kazakhstan;El Salvador;Finland;Greece;Denmark;South Korea;Netherlands;South Africa;Bangladesh;Fiji;United Kingdom;Brazil;Spain;Portugal;Malaysia;Taiwan;Italy;Norway;China;Russia;Japan;United Republic of Tanzania;United States	NCBI;HGM;HBC;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	100	0.02	5306618	5484149
HRGM_Genome_0056	GUT_GENOME140808	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia marmotae	17	Europe;NA	Sweden;Denmark;Netherlands;NA	CIBIO;PATRIC/IMG;HGM;EBI	MAG;Isolate	Direct	HQ	100	0.04	229669	4486744
HRGM_Genome_0057	GUT_GENOME140826	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia sp000208585	15	Europe;Africa;NA;Asia	Austria;Spain;NA;Russia;Japan;United Republic of Tanzania;Madagascar	HGM;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.89	0.04	454369	4514939
HRGM_Genome_0058	GUT_GENOME141436	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A michiganensis	140	NA;North America;Asia;Europe	Austria;Denmark;Netherlands;NA;Italy;Sweden;France;United Kingdom;Canada;China;Estonia;Finland;Japan;United States	HGM;HBC;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	100	0.74	6152190	6684898
HRGM_Genome_0059	KIJ_genome_5205	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella ornithinolytica	39	Africa;North America;Asia;Europe	Mongolia;Austria;United Republic of Tanzania;South Korea;Italy;Sweden;Canada;China;Estonia;Japan;Lebanon;United States	HGM;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Indirect	HQ	99.54	1.238	505871	5576495
HRGM_Genome_0060	GUT_GENOME142031	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	473	South America;Oceania;NA;Asia;North America;Europe	South Korea;Switzerland;Australia;France;India;Ireland;Fiji;Peru;Canada;United Kingdom;Mexico;Brazil;Spain;Israel;Malaysia;NA;Scotland;Italy;Sweden;Germany;Belgium;China;Colombia;Croatia;United States	PATRIC/IMG;HGM;EBI	MAG;Isolate	Direct	HQ	100	0.04	4946108	4955431
HRGM_Genome_0061	GUT_GENOME000559	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A oxytoca	137	NA;North America;Asia;Europe	Austria;Denmark;NA;Italy;Sweden;Canada;China;Estonia;Finland;Japan;United States	NCBI;HGM;HBC;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	100	0.11	428618	5860621
HRGM_Genome_0062	KIJ_genome_8005	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	23	Europe;North America;Asia	Austria;South Korea;China;Estonia;Sweden;Japan;United States	CIBIO;HGM;KIJ;EBI	MAG	Indirect	HQ	99.96	0.402	360236	4968283
HRGM_Genome_0063	KIJ_genome_27746	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii_A	1	Asia	Japan	KIJ	MAG		HQ	96.91	1.37	50731	4993945
HRGM_Genome_0064	KIJ_genome_10957	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera georgiana_A	1	Asia	Japan	KIJ	MAG		MQ	52.58	0	34248	4199873
HRGM_Genome_0065	KIJ_genome_28010	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei	1	Asia	Japan	KIJ	MAG		MQ	50.86	0	4040	3593035
HRGM_Genome_0066	KIJ_genome_12295	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__	1	Asia	Japan	KIJ	MAG		MQ	52.35	0	79063	4508259
HRGM_Genome_0067	GUT_GENOME001417	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei	33	Europe;North America;Asia	Austria;South Korea;Denmark;Sweden;France;Mexico;China;Finland;Japan;United States	HGM;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	99.7	0.65	217039	4918299
HRGM_Genome_0068	KIJ_genome_16831	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia;s__Leclercia adecarboxylata	1	Asia	Japan	KIJ	MAG		HQ	96.07	0.546	100747	4678011
HRGM_Genome_0069	GUT_GENOME000563	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii	76	Africa;North America;Asia;Europe	Austria;South Korea;Denmark;NA;Italy;Sweden;United Kingdom;Canada;China;Estonia;Japan;United Republic of Tanzania;United States	HGM;HBC;KIJ;CIBIO;PATRIC/IMG;EBI	MAG;Isolate	Direct	HQ	99.97	0.17	899252	4739968
HRGM_Genome_0070	KIJ_genome_21923	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A grimontii	39	Europe;North America;Asia	Denmark;Italy;Sweden;United Kingdom;China;Estonia;Japan;United States	HGM;HBC;KIJ;CIBIO;EBI	MAG;Isolate	Indirect	HQ	99.1	0.129	322790	5679391
HRGM_Genome_0071	GUT_GENOME247095	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia cowanii	5	North America;Asia	Japan;United States	CIBIO;KIJ;EBI	MAG	Indirect	HQ	94.26	1.85	16049	4218591
HRGM_Genome_0072	GUT_GENOME247084	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_B;s__	1	North America	United States	CIBIO	MAG		MQ	58.62	0	6476	3911502
HRGM_Genome_0073	GUT_GENOME095296	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Atlantibacter;s__Atlantibacter hermannii	3	Europe;North America	United States;Italy	CIBIO;HGM;EBI	MAG		HQ	98.76	1.47	120519	4363538
HRGM_Genome_0074	GUT_GENOME171567	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter bugandensis	1	Asia	Singapore	EBI	MAG		MQ	70.62	0	40016	4424695
HRGM_Genome_0075	GUT_GENOME171597	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__	2	Asia	Singapore	EBI	MAG	Direct	HQ	98.35	1.54	257727	5145656
HRGM_Genome_0076	GUT_GENOME177471	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Metakosakonia;s__Metakosakonia intestini	5	Europe;Asia;North America	Singapore;United States;Italy	CIBIO;EBI	MAG		MQ	69.31	0	83802	5266198
